signal_id,timestamp_utc,direction,entry_price,MFE_ticks,MAE_ticks,outcome_sl2,outcome_sl3,outcome_sl4,outcome_sl5,outcome_sl6,outcome_sl7,outcome_sl10,classification,time_to_tp_sec,time_to_sl5_sec
48,2026-07-01 05:44:59 UTC,SHORT,1.7050,2.0,1.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,79.8,N/A
49,2026-07-01 05:48:59 UTC,SHORT,1.7120,2.0,5.0,LOSS,LOSS,LOSS,LOSS,WIN,WIN,WIN,SAVED_BY_SL10,242.2,21.1
50,2026-07-01 05:52:59 UTC,SHORT,1.7120,2.0,0.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,2.2,N/A
51,2026-07-01 06:06:59 UTC,LONG,1.7090,2.0,5.0,LOSS,LOSS,LOSS,LOSS,WIN,WIN,WIN,SAVED_BY_SL10,475.4,147.4
52,2026-07-01 06:16:59 UTC,SHORT,1.7100,2.0,0.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,4.8,N/A
53,2026-07-01 06:23:59 UTC,LONG,1.7040,0.0,10.0,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS_ALL,N/A,589.0
54,2026-07-01 06:50:59 UTC,LONG,1.6890,2.0,0.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,29.6,N/A
55,2026-07-01 06:55:59 UTC,SHORT,1.6910,2.0,0.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,34.7,N/A
56,2026-07-01 07:10:59 UTC,LONG,1.6890,2.0,1.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,55.5,N/A
57,2026-07-01 07:14:59 UTC,SHORT,1.6900,2.0,0.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,24.5,N/A
58,2026-07-01 07:26:59 UTC,SHORT,1.6980,2.0,0.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,17.9,N/A
59,2026-07-01 07:33:59 UTC,LONG,1.6950,2.0,0.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,6.5,N/A
60,2026-07-01 07:42:59 UTC,LONG,1.6950,2.0,4.0,LOSS,LOSS,LOSS,WIN,WIN,WIN,WIN,SAVED_BY_SL5,423.9,N/A
61,2026-07-01 07:48:59 UTC,LONG,1.6950,2.0,2.0,LOSS,WIN,WIN,WIN,WIN,WIN,WIN,SAVED_BY_SL5,63.9,N/A
62,2026-07-01 07:52:59 UTC,SHORT,1.6980,2.0,1.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,176.7,N/A
63,2026-07-01 07:56:59 UTC,SHORT,1.6990,2.0,0.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,68.7,N/A
64,2026-07-01 08:03:59 UTC,LONG,1.6930,2.0,1.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,41.1,N/A
65,2026-07-01 08:12:59 UTC,SHORT,1.6980,2.0,0.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,125.2,N/A
66,2026-07-01 08:16:59 UTC,SHORT,1.6950,2.0,0.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,5.0,N/A
67,2026-07-01 08:20:59 UTC,LONG,1.6950,0.0,10.0,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS_ALL,N/A,209.1
68,2026-07-01 08:27:59 UTC,LONG,1.6920,2.0,9.0,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,WIN,SAVED_BY_SL10,1671.7,302.1
69,2026-07-01 08:35:59 UTC,LONG,1.6900,2.0,3.0,LOSS,WIN,WIN,WIN,WIN,WIN,WIN,SAVED_BY_SL5,403.3,N/A
70,2026-07-01 08:39:59 UTC,SHORT,1.6890,2.0,4.0,LOSS,LOSS,LOSS,WIN,WIN,WIN,WIN,SAVED_BY_SL5,435.1,N/A
71,2026-07-01 08:45:59 UTC,SHORT,1.6930,2.0,0.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,15.1,N/A
72,2026-07-01 08:52:59 UTC,LONG,1.6890,2.0,2.0,LOSS,WIN,WIN,WIN,WIN,WIN,WIN,SAVED_BY_SL5,113.8,N/A
73,2026-07-01 09:00:59 UTC,SHORT,1.6980,2.0,2.0,LOSS,WIN,WIN,WIN,WIN,WIN,WIN,SAVED_BY_SL5,128.4,N/A
74,2026-07-01 09:07:59 UTC,LONG,1.7000,2.0,0.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,88.5,N/A
75,2026-07-01 09:20:59 UTC,SHORT,1.7100,2.0,3.0,LOSS,LOSS,WIN,WIN,WIN,WIN,WIN,SAVED_BY_SL5,240.3,N/A
76,2026-07-01 09:25:59 UTC,LONG,1.7110,0.0,10.0,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS_ALL,N/A,276.3
77,2026-07-01 09:29:59 UTC,LONG,1.7070,2.0,0.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,1.4,N/A
78,2026-07-01 09:34:59 UTC,LONG,1.7040,2.0,7.0,LOSS,LOSS,LOSS,LOSS,LOSS,WIN,WIN,SAVED_BY_SL10,1074.6,702.3
79,2026-07-01 09:37:59 UTC,LONG,1.7040,2.0,7.0,LOSS,LOSS,LOSS,LOSS,LOSS,WIN,WIN,SAVED_BY_SL10,894.6,522.3
80,2026-07-01 09:47:59 UTC,SHORT,1.6990,0.0,10.0,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS_ALL,N/A,248.6
81,2026-07-01 09:54:59 UTC,SHORT,1.7060,2.0,3.0,LOSS,LOSS,WIN,WIN,WIN,WIN,WIN,SAVED_BY_SL5,388.3,N/A
82,2026-07-01 10:00:59 UTC,SHORT,1.7060,2.0,0.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,28.3,N/A
83,2026-07-01 10:04:59 UTC,LONG,1.7040,1.0,10.0,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS_ALL,N/A,382.9
84,2026-07-01 10:18:59 UTC,LONG,1.6920,2.0,0.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,75.8,N/A
85,2026-07-01 10:24:59 UTC,SHORT,1.6890,2.0,1.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,52.5,N/A
86,2026-07-01 10:29:59 UTC,LONG,1.6870,2.0,1.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,159.6,N/A
87,2026-07-01 10:36:59 UTC,SHORT,1.6890,0.0,10.0,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS_ALL,N/A,526.0
88,2026-07-01 10:41:59 UTC,SHORT,1.6940,2.0,0.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,70.5,N/A
89,2026-07-01 10:44:59 UTC,SHORT,1.6920,1.0,10.0,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS_ALL,N/A,68.5
90,2026-07-01 10:52:59 UTC,SHORT,1.6960,2.0,3.0,LOSS,LOSS,WIN,WIN,WIN,WIN,WIN,SAVED_BY_SL5,260.0,N/A
91,2026-07-01 10:56:59 UTC,LONG,1.6960,2.0,4.0,LOSS,LOSS,LOSS,WIN,WIN,WIN,WIN,SAVED_BY_SL5,443.3,N/A
92,2026-07-01 11:04:59 UTC,LONG,1.6980,2.0,4.0,LOSS,LOSS,LOSS,WIN,WIN,WIN,WIN,SAVED_BY_SL5,434.3,N/A
93,2026-07-01 11:08:59 UTC,SHORT,1.6960,2.0,1.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,84.7,N/A
94,2026-07-01 11:17:59 UTC,SHORT,1.6990,2.0,3.0,LOSS,WIN,WIN,WIN,WIN,WIN,WIN,SAVED_BY_SL5,311.5,N/A
95,2026-07-01 11:23:59 UTC,LONG,1.6970,2.0,1.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,24.2,N/A
96,2026-07-01 11:26:59 UTC,LONG,1.6980,2.0,1.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,167.4,N/A
97,2026-07-01 11:33:59 UTC,SHORT,1.6980,2.0,3.0,LOSS,LOSS,WIN,WIN,WIN,WIN,WIN,SAVED_BY_SL5,465.5,N/A
98,2026-07-01 11:40:59 UTC,SHORT,1.6980,2.0,0.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,45.5,N/A
99,2026-07-01 11:44:59 UTC,LONG,1.6970,2.0,0.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,4.8,N/A
100,2026-07-01 11:51:59 UTC,LONG,1.6960,2.0,0.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,8.6,N/A
101,2026-07-01 11:56:59 UTC,SHORT,1.6940,2.0,3.0,LOSS,LOSS,WIN,WIN,WIN,WIN,WIN,SAVED_BY_SL5,294.9,N/A
102,2026-07-01 12:06:59 UTC,LONG,1.6900,2.0,5.0,LOSS,LOSS,LOSS,WIN,WIN,WIN,WIN,SAVED_BY_SL5,186.9,N/A
103,2026-07-01 12:18:59 UTC,SHORT,1.6920,2.0,0.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,25.2,N/A
104,2026-07-01 12:26:59 UTC,LONG,1.6880,2.0,0.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,72.7,N/A
105,2026-07-01 12:29:59 UTC,LONG,1.6870,2.0,4.0,LOSS,LOSS,LOSS,WIN,WIN,WIN,WIN,SAVED_BY_SL5,229.4,N/A
106,2026-07-01 12:32:59 UTC,LONG,1.6860,2.0,0.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,42.1,N/A
107,2026-07-01 12:42:59 UTC,LONG,1.6820,2.0,0.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,170.8,N/A
108,2026-07-01 12:52:59 UTC,LONG,1.6780,2.0,2.0,LOSS,WIN,WIN,WIN,WIN,WIN,WIN,SAVED_BY_SL5,175.9,N/A
109,2026-07-01 12:55:59 UTC,LONG,1.6790,2.0,2.0,LOSS,WIN,WIN,WIN,WIN,WIN,WIN,SAVED_BY_SL5,327.4,N/A
110,2026-07-01 13:06:59 UTC,SHORT,1.6820,2.0,0.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,8.1,N/A
111,2026-07-01 13:07:59 UTC,SHORT,1.6820,2.0,0.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,191.7,N/A
112,2026-07-01 13:25:59 UTC,SHORT,1.6830,2.0,6.0,LOSS,LOSS,LOSS,LOSS,LOSS,WIN,WIN,SAVED_BY_SL10,243.3,119.5
113,2026-07-01 13:34:59 UTC,LONG,1.6840,2.0,2.0,LOSS,WIN,WIN,WIN,WIN,WIN,WIN,SAVED_BY_SL5,69.0,N/A
114,2026-07-01 13:40:59 UTC,SHORT,1.6890,2.0,1.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,66.8,N/A
115,2026-07-01 13:54:59 UTC,SHORT,1.6950,2.0,1.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,41.3,N/A
116,2026-07-01 13:59:59 UTC,LONG,1.6960,2.0,6.0,LOSS,LOSS,LOSS,LOSS,LOSS,WIN,WIN,SAVED_BY_SL10,634.6,439.2
117,2026-07-01 14:16:59 UTC,SHORT,1.7070,2.0,3.0,LOSS,WIN,WIN,WIN,WIN,WIN,WIN,SAVED_BY_SL5,151.0,N/A
118,2026-07-01 14:25:59 UTC,LONG,1.7010,2.0,2.0,LOSS,WIN,WIN,WIN,WIN,WIN,WIN,SAVED_BY_SL5,158.1,N/A
119,2026-07-01 14:35:59 UTC,LONG,1.6920,2.0,3.0,LOSS,WIN,WIN,WIN,WIN,WIN,WIN,SAVED_BY_SL5,79.6,N/A
120,2026-07-01 14:43:59 UTC,SHORT,1.6970,2.0,0.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,25.8,N/A
121,2026-07-01 14:49:59 UTC,LONG,1.6950,2.0,2.0,LOSS,WIN,WIN,WIN,WIN,WIN,WIN,SAVED_BY_SL5,81.0,N/A
122,2026-07-01 14:56:59 UTC,SHORT,1.7010,2.0,0.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,68.9,N/A
123,2026-07-01 15:09:59 UTC,SHORT,1.7030,2.0,2.0,LOSS,WIN,WIN,WIN,WIN,WIN,WIN,SAVED_BY_SL5,190.7,N/A
124,2026-07-01 15:13:59 UTC,LONG,1.7000,2.0,1.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,73.8,N/A
125,2026-07-01 15:26:59 UTC,SHORT,1.7090,2.0,1.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,74.8,N/A
126,2026-07-01 15:45:59 UTC,SHORT,1.7140,2.0,5.0,LOSS,LOSS,LOSS,LOSS,WIN,WIN,WIN,SAVED_BY_SL10,541.6,457.5
127,2026-07-01 15:48:59 UTC,LONG,1.7150,2.0,2.0,LOSS,WIN,WIN,WIN,WIN,WIN,WIN,SAVED_BY_SL5,148.4,N/A
128,2026-07-01 15:53:59 UTC,LONG,1.7150,2.0,3.0,LOSS,LOSS,WIN,WIN,WIN,WIN,WIN,SAVED_BY_SL5,182.7,N/A
129,2026-07-01 15:58:59 UTC,LONG,1.7160,2.0,1.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,62.8,N/A
130,2026-07-01 16:05:59 UTC,SHORT,1.7190,1.0,10.0,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS_ALL,N/A,315.4
131,2026-07-01 16:11:59 UTC,SHORT,1.7310,2.0,5.0,LOSS,LOSS,LOSS,WIN,WIN,WIN,WIN,SAVED_BY_SL5,190.2,N/A
132,2026-07-01 16:15:59 UTC,SHORT,1.7310,2.0,0.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,15.4,N/A
133,2026-07-01 16:24:59 UTC,LONG,1.7220,2.0,2.0,LOSS,WIN,WIN,WIN,WIN,WIN,WIN,SAVED_BY_SL5,154.5,N/A
134,2026-07-01 16:32:59 UTC,LONG,1.7180,1.0,10.0,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS_ALL,N/A,253.0
135,2026-07-01 16:43:59 UTC,LONG,1.7110,1.0,10.0,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS_ALL,N/A,327.5
136,2026-07-01 16:52:59 UTC,LONG,1.7020,2.0,0.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,22.8,N/A
137,2026-07-01 17:02:59 UTC,SHORT,1.7000,2.0,1.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,50.1,N/A
138,2026-07-01 17:08:59 UTC,LONG,1.6950,2.0,0.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,17.5,N/A
139,2026-07-01 17:17:59 UTC,SHORT,1.7010,1.0,10.0,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS_ALL,N/A,324.0
140,2026-07-01 17:28:59 UTC,SHORT,1.7100,2.0,0.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,66.7,N/A
141,2026-07-01 17:35:59 UTC,LONG,1.7100,2.0,0.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,60.3,N/A
142,2026-07-01 17:49:59 UTC,SHORT,1.7130,2.0,5.0,LOSS,LOSS,LOSS,WIN,WIN,WIN,WIN,SAVED_BY_SL5,1852.2,N/A
143,2026-07-01 17:59:59 UTC,LONG,1.7140,2.0,2.0,LOSS,WIN,WIN,WIN,WIN,WIN,WIN,SAVED_BY_SL5,189.5,N/A
144,2026-07-01 18:04:59 UTC,LONG,1.7160,2.0,1.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,548.7,N/A
145,2026-07-01 18:10:59 UTC,SHORT,1.7170,2.0,0.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,50.5,N/A
146,2026-07-01 18:25:59 UTC,LONG,1.7090,1.0,10.0,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS_ALL,N/A,690.9
147,2026-07-01 18:32:59 UTC,LONG,1.7070,0.0,10.0,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS_ALL,N/A,328.7
148,2026-07-01 18:40:59 UTC,LONG,1.7050,0.0,10.0,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS_ALL,N/A,250.5
149,2026-07-01 18:53:59 UTC,SHORT,1.6930,2.0,1.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,40.9,N/A
150,2026-07-01 18:57:59 UTC,LONG,1.6930,2.0,0.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,10.7,N/A
151,2026-07-01 19:06:59 UTC,SHORT,1.6970,2.0,0.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,73.5,N/A
152,2026-07-01 19:09:59 UTC,SHORT,1.6950,2.0,1.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,95.2,N/A
153,2026-07-01 19:15:59 UTC,LONG,1.6890,2.0,1.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,134.3,N/A
154,2026-07-01 19:25:59 UTC,SHORT,1.6920,2.0,0.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,6.9,N/A
155,2026-07-01 19:36:59 UTC,SHORT,1.6920,2.0,3.0,LOSS,LOSS,WIN,WIN,WIN,WIN,WIN,SAVED_BY_SL5,198.5,N/A
156,2026-07-01 19:40:59 UTC,LONG,1.6880,2.0,1.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,112.8,N/A
157,2026-07-01 19:43:59 UTC,LONG,1.6900,2.0,4.0,LOSS,LOSS,LOSS,WIN,WIN,WIN,WIN,SAVED_BY_SL5,360.4,N/A
158,2026-07-01 20:00:59 UTC,LONG,1.6860,2.0,3.0,LOSS,WIN,WIN,WIN,WIN,WIN,WIN,SAVED_BY_SL5,144.7,N/A
159,2026-07-01 20:07:59 UTC,SHORT,1.6920,2.0,0.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,1.4,N/A
160,2026-07-01 20:09:59 UTC,SHORT,1.6830,2.0,6.0,LOSS,LOSS,LOSS,LOSS,LOSS,WIN,WIN,SAVED_BY_SL10,632.0,304.0
161,2026-07-01 20:13:59 UTC,LONG,1.6880,2.0,7.0,LOSS,LOSS,LOSS,LOSS,LOSS,WIN,WIN,SAVED_BY_SL10,1100.4,149.8
162,2026-07-01 20:21:59 UTC,LONG,1.6850,2.0,1.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,139.2,N/A
163,2026-07-01 20:28:59 UTC,SHORT,1.6870,2.0,1.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,40.9,N/A
